Trimestre,Región,Crecimiento
2023-01-01,Ica,0.843694494
2023-04-01,Ica,-0.599058622
2023-07-01,Ica,2.011368605
2017-01-01,Junín,1.463739188
2017-04-01,Junín,7.393715342
2017-07-01,Junín,5.862533693
2017-10-01,Junín,3.75079466
2018-01-01,Junín,5.37704918
2018-04-01,Junín,2.409638554
2018-07-01,Junín,3.05537874
2018-10-01,Junín,2.818627451
2019-01-01,Junín,-2.053515868
2019-04-01,Junín,-1.792717087
2019-07-01,Junín,-0.308832613
2019-10-01,Junín,0.893921335
2020-01-01,Junín,-4.57433291
2020-04-01,Junín,-24.07301768
2020-07-01,Junín,-10.09913259
2020-10-01,Junín,1.122268163
2021-01-01,Junín,11.18508655
2021-04-01,Junín,30.9541698
2021-07-01,Junín,16.88490696
2021-10-01,Junín,4.789719626
2022-01-01,Junín,4.131736527
2022-04-01,Junín,3.843947217
2022-07-01,Junín,3.596698113
2022-10-01,Junín,-1.059085842
2023-01-01,Junín,-0.40253019
2023-04-01,Junín,-0.165745856
2023-07-01,Junín,-7.797381901
2017-01-01,La Libertad,-0.532319392
2017-04-01,La Libertad,2.114164905
2017-07-01,La Libertad,3.40826686
2017-10-01,La Libertad,1.684636119
2018-01-01,La Libertad,4.204892966
2018-04-01,La Libertad,7.522429262
2018-07-01,La Libertad,1.26227209
2018-10-01,La Libertad,6.825712392
2019-01-01,La Libertad,4.108584006
2019-04-01,La Libertad,-0.513478819
2019-07-01,La Libertad,5.193905817
2019-10-01,La Libertad,5.893300248
2020-01-01,La Libertad,-3.453136011
2020-04-01,La Libertad,-19.48387097
2020-07-01,La Libertad,-6.319947334
2020-10-01,La Libertad,3.573520797
2021-01-01,La Libertad,6.861313869
2021-04-01,La Libertad,28.44551282
2021-07-01,La Libertad,12.22768798
2021-10-01,La Libertad,0.735294118
2022-01-01,La Libertad,1.161202186
2022-04-01,La Libertad,-0.748596382
2022-07-01,La Libertad,2.191609267
2022-10-01,La Libertad,3.930376193
2023-01-01,La Libertad,2.160702228
